covariate,label,family,n,pearson,p_pear,pearson_lo,pearson_hi,spearman,p_spear,spearman_lo,spearman_hi,abs_spearman
temp_field,air temp (C),weather,343,0.6534990010512274,3.7653384532421595e-43,0.5883165671672829,0.710243759423088,0.6342179686850332,5.369199503897956e-40,0.5620121129835752,0.6968304858180331,0.6342179686850332
wbgt_field,WBGT field (C),weather,343,0.6277590378836777,5.4595923698334396e-39,0.5590258489445638,0.6879235185304039,0.6236060047493632,2.3571936094031983e-38,0.5498823148943843,0.6876878713549659,0.6236060047493632
wbgt_max,WBGT max (C),weather,343,0.5294945762001471,3.514676696067719e-26,0.4487616680648336,0.6016546134739702,0.5284138395963031,4.616405715977706e-26,0.44244782019385664,0.6047570984594607,0.5284138395963031
wind_field,wind (m/s),weather,343,-0.0873664537845002,0.10626032394340146,-0.19149029554024527,0.018702026448226772,-0.09544008294356443,0.07753789208463074,-0.20543746873792698,0.01693853023618877,0.09544008294356443
precip_total_mm,precip (mm),weather,343,-0.017324546439298656,0.7491898278923671,-0.12299435663551112,0.08873369808109546,-0.1272137792155475,0.018422480348117234,-0.23604197750370293,-0.015233980864358655,0.1272137792155475
wbgt_rising_slope_c_per_h,WBGT rising slope (C/h),weather,343,0.03837926167456759,0.47865950605392016,-0.0677917111780061,0.14369072984085193,0.08390670728199502,0.12089269142900347,-0.02855938713601701,0.19427501624787066,0.08390670728199502
total_gain_m,total elevation gain (m),course,343,0.2716396869976802,3.241224432445693e-07,0.17065313970605983,0.3669788452459336,0.331707696867322,2.9736389675803035e-10,0.22799570804356953,0.4279770431539439,0.331707696867322
net_gain_m,net elevation gain (m),course,343,-0.15800571926251814,0.00334541063486169,-0.25955822287902147,-0.05299701545862006,-0.18590596523713174,0.0005388254861016833,-0.2920123653815232,-0.07527890941194558,0.18590596523713174
abs_net_gain_m,|net elevation gain| (m),course,343,0.20299674297200188,0.00015351509908507606,0.09923447566442294,0.30239185149180914,0.2992282995965871,1.5899221259840433e-08,0.19352831229484865,0.3980615760268119,0.2992282995965871
