fit,term,beta,se,t,p,ci_lo,ci_hi,dof
iid,temp,0.6267986314316119,0.04039714497340176,15.515914103442407,1.9924357144359617e-41,0.5473388315138934,0.7062584313493303,340
iid,gain,0.17718740025236532,0.04039714497340177,4.386136702705817,1.5409025806742127e-05,0.09772760033464681,0.2566472001700838,340
CR1,temp,0.6267986314316119,0.05225824225407727,11.994254004643794,1.0823172080444196e-17,0.5223018177099799,0.7312954451532439,61
CR1,gain,0.17718740025236532,0.10228171447698861,1.7323467949124867,0.08826569966933841,-0.027337528329539396,0.38171232883427003,61
CR2,temp,0.6267986314316119,0.05256032767944798,11.925318183978925,1.3871298862562065e-17,0.5216977605687254,0.7318995022944983,61
CR2,gain,0.17718740025236532,0.1120545797653668,1.5812597809333753,0.11899037103307944,-0.046879580253158804,0.40125438075788944,61
pairs_boot,temp,0.6267986314316119,0.05256107929421525,,,0.5327168676233762,0.7375045835595095,61
pairs_boot,gain,0.17718740025236532,0.11008778089199354,,,0.02007005893709079,0.45038966363944805,61
WLS_iid,temp,0.6720494844918687,0.03965054894872986,16.94931097576637,3.8640372757453787e-47,0.5940582133718871,0.7500407556118504,340
WLS_iid,gain,0.4194500018651932,0.040929839967820694,10.248024477861813,1.1802563626592265e-21,0.3389424091467318,0.49995759458365463,340
WLS_CR2,temp,0.6720494844918687,0.05782479200588055,11.622168643918753,4.1596168228662603e-17,0.5564216665994832,0.7876773023842543,61
WLS_CR2,gain,0.4194500018651932,0.23091391936265923,1.816477772422332,0.07421117564119623,-0.042290917395999716,0.8811909211263862,61
