solver,nu,sigma2,full_loglik,full_aic,full_bic,pearson_vs_L2,spearman_vs_L2,top10_jaccard_vs_L2,max_abs_rank_shift_frac,mean_abs_dv,max_abs_dv
anderson,inf,0.0046911753067000045,153370.0924374694,-242192.1848749388,71118.45407130203,1.0,1.0,1.0,0.0,0.0,0.0
anderson,15.0,0.0033009455612750026,160871.50210491492,-257195.00420982984,56115.63473641098,0.9926496411881467,0.9912992487044108,0.7241379310344828,0.14285714285714285,0.0025321511980030058,0.014772394434905509
anderson,10.0,0.002894171440368531,163283.11874645605,-262018.2374929121,51292.401453328726,0.9880146471630198,0.9849425936382459,0.7241379310344828,0.21031746031746032,0.0032063018465765493,0.017862300771624234
anderson,8.0,0.0026496537005301557,164759.0464537008,-264970.0929074016,48340.54603883921,0.984726730540789,0.9807103226469241,0.6666666666666666,0.24603174603174602,0.003613432569322031,0.02051036248704989
anderson,6.0,0.002312829755699211,166801.70140226872,-269055.40280453744,44255.23614170338,0.9795739778328568,0.9736397905460784,0.6666666666666666,0.32936507936507936,0.004175498235936201,0.02375637793575884
anderson,5.0,0.002090490717948706,168154.4351578412,-271760.8703156824,41549.76863055845,0.9757483404508112,0.968580412024029,0.6666666666666666,0.373015873015873,0.0045484819225818,0.025750518310908646
anderson,4.0,0.0018130418497254214,169831.39945869302,-275114.79891738604,38195.840028854785,0.970104253382678,0.9610524587139867,0.6666666666666666,0.4087301587301587,0.005047655951280551,0.02822781293672519
anderson,3.0,0.0014556029943088426,171941.6598524658,-279335.3197049316,33975.31924130925,0.9610158795342564,0.9489083005452311,0.6666666666666666,0.5,0.005746645085507633,0.03157679317389797
cv,inf,0.0046911752798373335,153370.09239274566,-242192.18478549132,71118.4541607495,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
cv,15.0,0.003300921364797072,160871.68142931125,-257195.3628586225,56115.27608761832,0.992648870579645,0.9912992487044108,0.7241379310344828,0.14285714285714285,0.002531960393196077,0.014770537884882147
cv,10.0,0.0028940772546074502,163283.463314765,-262018.92662952997,51291.71231671085,0.9880129710601414,0.9849425936382459,0.7241379310344828,0.21031746031746032,0.0032063737158440748,0.01786580854237366
cv,8.0,0.00264966242129123,164759.40185287982,-264970.80370575964,48339.83524048119,0.9847256211360842,0.9807103226469241,0.6666666666666666,0.24603174603174602,0.0036130129442289807,0.020513531089447565
cv,6.0,0.002312822035519643,166802.15525150456,-269056.3105030091,44254.3284432317,0.9795718490745308,0.9736397905460784,0.6666666666666666,0.32936507936507936,0.004175248998030058,0.023760303210321142
cv,5.0,0.0020904779139250852,168154.96746188062,-271761.93492376123,41548.70402247959,0.9757465360981834,0.9686089071157494,0.6666666666666666,0.373015873015873,0.0045482312333078615,0.025754232671845376
cv,4.0,0.0018130179066586664,169832.03563646926,-275116.0712729385,38194.567673302314,0.9701000480428665,0.9611056995432538,0.6666666666666666,0.4087301587301587,0.005047544450427996,0.028232275396783055
cv,3.0,0.0014555658929332022,171942.48264034686,-279336.9652806937,33973.6736655471,0.961011935606239,0.948920298478587,0.6666666666666666,0.5,0.00574656755774254,0.03158185390383453
